aircraft_id,report_date,aircraft_model,operator,flight_phase,cruise_altitude_ft,flight_conditions,weather_conditions,component_name,component_status,anomaly_type,root_cause,maintenance_outcome,base_location,airport_code,crew_experience,contributing_factors,report_summary,health_status,alert_active,flight_hours,report_year,report_month
833296,2009-04-01,B737-500,Air Carrier,Descent,12000.0,Vmc,unknown,unknown,Unknown,conflict nmac,Ambiguous,general none reported / taken,ca,san.airport,flight crew last 90 days 150; flight crew total 10000; flight crew type 7000,airspace structure; human factors,b737-500 flight crew reports a nmac with a sailplane at 12000 ft msl while on the baret arrival to san.,Normal,False,10000,2009,4
1041421,2012-10-01,Regional Jet 200 Er/Lr (Crj200),Air Carrier,Landing,0.0,Unknown,unknown,gear extend/retract mechanism,Malfunctioning,aircraft equipment problem critical,Aircraft,flight crew executed go around / missed approach; flight crew landed in emergency condition; general declared emergency; general maintenance action,us,zzz.airport,unknown,aircraft,crj200 captain reports a gear disagree cas during approach when the gear handle is placed down. a go around is initiated and the gear is extended manually using qrh procedures. an uneventful landing ensues.,Critical,True,9596,2012,10
711651,2006-09-01,B737-200,Air Carrier,Takeoff / Launch,0.0,Vmc,unknown,unknown,Unknown,conflict airborne conflict; deviation - track / heading all types; deviation / discrepancy - procedural clearance; deviation / discrepancy - procedural published material / policy,Human Factors,air traffic control issued new clearance,nc,clt.airport,flight crew last 90 days 210; flight crew total 6556; flight crew type 2700,human factors; chart or publication,b737 crew turns the wrong way on dep from rwy 36l at clt.,Normal,False,6556,2006,9
838096,2009-06-01,Cessna Citation Sovereign (C680),Corporate,Initial Climb,5000.0,Unknown,unknown,unknown,Unknown,conflict airborne conflict,Human Factors,flight crew took evasive action,az,p50.tracon,unknown,human factors,corporate jet departure from sdl; enroute to iwa with p50; experienced multiple conflict events with atc reported traffic; reporter questioned atc's actions regarding both involved aircraft.,Normal,False,13016,2009,6
675955,2005-10-01,A320,Air Carrier,Taxi,0.0,Unknown,unknown,door warning system,Improperly Operated,aircraft equipment problem less severe; deviation / discrepancy - procedural mel / cdl; deviation / discrepancy - procedural published material / policy,Aircraft,general none reported / taken,us,zzz.airport,unknown,aircraft; human factors,flt crew of a320 suspect they did not accurately fulfill requirements of mel item assuring cargo door closure. departed with open log item.,Warning,True,5911,2005,10
831524,2009-04-01,Amateur/Home Built/Experimental,Fbo,Landing,0.0,Vmc,10,unknown,Unknown,ground event / encounter loss of aircraft control,Human Factors,aircraft aircraft damaged; general none reported / taken,us,zzz.airport,flight crew last 90 days 200; flight crew total 500; flight crew type 9,aircraft; human factors,ch601; zenith zodiac; instructor pilot experienced a prop strike when the student locked up on the brakes prior to touchdown.,Normal,False,500,2009,4
884378,2010-04-01,Small Aircraft; High Wing; 1 Eng; Fixed Gear,Personal,Taxi,0.0,Vmc,10,unknown,Unknown,conflict ground conflict; less severe; deviation / discrepancy - procedural clearance; ground event / encounter other / unknown; ground incursion runway,Ambiguous,air traffic control issued advisory / alert,ca,sba.airport,flight crew last 90 days 7.7; flight crew total 820; flight crew type 300,environment - non weather related; airport; human factors; procedure,a single engine pilot incurred sba runway 25 after becoming confused by the taxiway markings and a clearance to taxi to runway 15r without hold short instructions.,Normal,False,820,2010,4
736541,2007-04-01,Md-80 Series (Dc-9-80) Undifferentiated Or Other Model,Air Carrier,Cruise,0.0,Unknown,unknown,unknown,Unknown,inflight event / encounter wake vortex encounter,Environment - Non Weather Related,general physical injury / incapacitation,pa,phl.airport,flight attendant airline total 18.5; flight attendant total 18.5; flight attendant type 90,environment - non weather related,2 flt attendants injured during arr at phl during an encounter with wake turb.,Normal,False,18,2007,4
984794,2011-12-01,Regional Jet 200 Er/Lr (Crj200),Air Carrier,Taxi,0.0,Unknown,unknown,unknown,Unknown,deviation / discrepancy - procedural published material / policy; ground event / encounter person / animal / bird,Human Factors,general none reported / taken,us,zzz.airport,unknown,procedure; human factors,a crj-200 flight crew started engines and taxied from a temporary remote parking area to their newly assigned gate while maintenance personnel were still assembled around their right engine; which had been damaged as the result of a bird strike on takeoff. both crew members believed the personnel had been informed prior to the event.,Normal,False,2996,2011,12
1026150,2012-07-01,Medium Transport; Low Wing; 2 Turbojet Eng,Personal,Parked,0.0,Unknown,unknown,unknown,Unknown,atc issue all types,Ambiguous,air traffic control provided assistance; flight crew requested atc assistance / clarification,oh,cgf.airport,flight crew last 90 days 45; flight crew total 4956; flight crew type 1181,atc equipment / nav facility / buildings; chart or publication; environment - non weather related,a pilot departing a cle area airport eastbound received a verbal route clearance which included keating (etg) along j146 and confused it with the similar sounding; nearby keatn intersection.,Normal,False,4956,2012,7
